時間,上游,下游,車種,車速,車流量
2024/04/29 21:50,01F0017N,01F0005N,31,46,43
2024/04/29 21:50,01F0017N,01F0005N,32,45,8
2024/04/29 21:50,01F0017N,01F0005N,41,47,1
2024/04/29 21:50,01F0017N,01F0005N,42,0,0
2024/04/29 21:50,01F0017N,01F0005N,5,0,0
2024/04/29 21:50,01F0029N,01F0017N,31,48,64
2024/04/29 21:50,01F0029N,01F0017N,32,46,11
2024/04/29 21:50,01F0029N,01F0017N,41,49,3
2024/04/29 21:50,01F0029N,01F0017N,42,0,0
2024/04/29 21:50,01F0029N,01F0017N,5,0,0
2024/04/29 21:50,01F0005S,01F0017S,31,52,47
2024/04/29 21:50,01F0005S,01F0017S,32,53,13
2024/04/29 21:50,01F0005S,01F0017S,41,50,3
2024/04/29 21:50,01F0005S,01F0017S,42,0,0
2024/04/29 21:50,01F0005S,01F0017S,5,0,0
2024/04/29 21:50,01F0061N,01F0029N,31,121,92
2024/04/29 21:50,01F0061N,01F0029N,32,119,19
2024/04/29 21:50,01F0061N,01F0029N,41,127,5
2024/04/29 21:50,01F0061N,01F0029N,42,129,2
2024/04/29 21:50,01F0061N,01F0029N,5,0,0
2024/04/29 21:50,01F0017S,01F0029S,31,49,60
2024/04/29 21:50,01F0017S,01F0029S,32,50,10
2024/04/29 21:50,01F0017S,01F0029S,41,49,2
2024/04/29 21:50,01F0017S,01F0029S,42,50,2
2024/04/29 21:50,01F0017S,01F0029S,5,0,0
2024/04/29 21:50,01F0099N,01F0061N,31,157,148
2024/04/29 21:50,01F0099N,01F0061N,32,156,29
2024/04/29 21:50,01F0099N,01F0061N,41,167,7
2024/04/29 21:50,01F0099N,01F0061N,42,213,4
2024/04/29 21:50,01F0099N,01F0061N,5,189,3
2024/04/29 21:50,01F0029S,01F0061S,31,125,60
2024/04/29 21:50,01F0029S,01F0061S,32,122,14
2024/04/29 21:50,01F0029S,01F0061S,41,134,3
2024/04/29 21:50,01F0029S,01F0061S,42,128,2
2024/04/29 21:50,01F0029S,01F0061S,5,188,1
2024/04/29 21:50,01F0147N,01F0099N,31,182,78
2024/04/29 21:50,01F0147N,01F0099N,32,187,9
2024/04/29 21:50,01F0147N,01F0099N,41,0,0
2024/04/29 21:50,01F0147N,01F0099N,42,206,2
2024/04/29 21:50,01F0147N,01F0099N,5,226,1
2024/04/29 21:50,01H0174N,01F0099N,31,288,30
2024/04/29 21:50,01H0174N,01F0099N,32,288,12
2024/04/29 21:50,01H0174N,01F0099N,41,312,2
2024/04/29 21:50,01H0174N,01F0099N,42,0,0
2024/04/29 21:50,01H0174N,01F0099N,5,0,0
2024/04/29 21:50,03F0087S,01F0099N,31,2365,2
2024/04/29 21:50,03F0087S,01F0099N,32,0,0
2024/04/29 21:50,03F0087S,01F0099N,41,0,0
2024/04/29 21:50,03F0087S,01F0099N,42,0,0
2024/04/29 21:50,03F0087S,01F0099N,5,0,0
2024/04/29 21:50,03F0116N,01F0099N,31,94,41
2024/04/29 21:50,03F0116N,01F0099N,32,93,14
2024/04/29 21:50,03F0116N,01F0099N,41,0,0
2024/04/29 21:50,03F0116N,01F0099N,42,104,3
